Wall time,Step,Value
1640873922.701606,1000,-0.05053269863128662
1640874894.586506,2000,-0.05110463127493858
1640875749.584659,3000,-0.049742430448532104
1640876504.309682,4000,-0.05206460505723953
1640877167.630022,5000,-0.05072762072086334
1640877798.193582,6000,-0.05217354744672775
1640878390.664124,7000,-0.05040901154279709
1640878839.35963,8000,-0.05123594030737877
1640879346.571716,9000,-0.05077734962105751
1640879838.939121,10000,-0.051134031265974045
1640880350.530383,11000,-0.04758330062031746
1640880839.8662107,12000,-0.048489075154066086
1640881306.639845,13000,-0.0488225556910038
1640881763.654212,14000,-0.046541593968868256
1640882159.065056,15000,-0.04940945655107498
1640882616.934398,16000,-0.04777178540825844
1640883066.372416,17000,-0.0482313446700573
1640883514.7933462,18000,-0.04688967019319534
1640883965.715086,19000,-0.04637164995074272
1640884423.306825,20000,-0.044953230768442154
1640884874.4529479,21000,-0.047165993601083755
1640885325.900892,22000,-0.04659593477845192
1640885712.048928,23000,-0.04666776955127716
1640886159.147227,24000,-0.04540150612592697
1640886621.911638,25000,-0.04606044292449951
1640887121.255455,26000,-0.04641970619559288
1640887580.274288,27000,-0.04575724899768829
1640888047.550524,28000,-0.04614676907658577
1640888496.767196,29000,-0.04444728419184685
1640888882.850155,30000,-0.04547756165266037
1640889329.5363038,31000,-0.04453659802675247
1640889777.934679,32000,-0.04722675681114197
1640890228.166796,33000,-0.045556049793958664
1640890679.449427,34000,-0.044730737805366516
1640891126.403004,35000,-0.046798720955848694
1640891575.347539,36000,-0.04645337536931038
1640892027.787833,37000,-0.04873645678162575
1640892417.464669,38000,-0.04736830294132233
1640892869.746591,39000,-0.04695616662502289
1640893324.33264,40000,-0.04985089600086212
1640893770.827589,41000,-0.049239568412303925
1640894223.443036,42000,-0.04950348660349846
1640894675.313297,43000,-0.04977722093462944
1640895125.93835,44000,-0.05105260759592056
1640895510.871513,45000,-0.04917483404278755
1640895964.388716,46000,-0.04915427044034004
1640896411.338904,47000,-0.04897813871502876
1640896859.067533,48000,-0.05009090155363083
1640897306.152322,49000,-0.0500791072845459
1640897753.936286,50000,-0.050108831375837326
1640898205.9980228,51000,-0.05145511031150818
1640898660.75614,52000,-0.050163108855485916
1640899044.674013,53000,-0.050313983112573624
1640899496.744458,54000,-0.04814540594816208
1640899943.543126,55000,-0.04970579966902733
1640900394.287939,56000,-0.0512348935008049
1640900842.391697,57000,-0.05128224194049835
1640901292.084601,58000,-0.05048450455069542
1640901743.9461749,59000,-0.049359798431396484
1640902131.717258,60000,-0.04972914233803749
1640902585.534145,61000,-0.04856882989406586
1640903035.985908,62000,-0.05050265043973923
1640903485.578978,63000,-0.04867830127477646
1640903937.253513,64000,-0.04806412011384964
1640904384.832794,65000,-0.048882510513067245
1640904832.56255,66000,-0.047864146530628204
1640905218.233439,67000,-0.04837649315595627
1640905666.717364,68000,-0.047527555376291275
1640906111.621255,69000,-0.04689762368798256
1640906556.639751,70000,-0.046089544892311096
1640907002.161858,71000,-0.047892503440380096
1640907449.769746,72000,-0.04687393084168434
1640907894.464039,73000,-0.047635309398174286
1640908341.317801,74000,-0.04584706202149391
1640908725.112496,75000,-0.046362247318029404
1640909176.195014,76000,-0.04665743559598923
1640909623.421563,77000,-0.04663823917508125
1640910072.9789639,78000,-0.04406077787280083
1640910515.9383,79000,-0.045171644538640976
1640910963.549517,80000,-0.04557168483734131
1640911396.831158,81000,-0.042930953204631805
1640911783.265526,82000,-0.045539490878582
1640912227.8647113,83000,-0.04426738992333412
1640912677.583396,84000,-0.0442112535238266
1640913123.962789,85000,-0.04291348531842232
1640913566.234508,86000,-0.042899809777736664
1640914009.227519,87000,-0.04200449958443642
1640914454.905377,88000,-0.04315227270126343
1640914900.477368,89000,-0.04306283965706825
1640915284.19177,90000,-0.04254944622516632
1640915728.917927,91000,-0.04194784536957741
1640916172.562975,92000,-0.04225913807749748
1640916621.815133,93000,-0.04259265959262848
1640917070.125165,94000,-0.041397932916879654
1640917514.447974,95000,-0.041756343096494675
1640917961.997472,96000,-0.03916527330875397
1640918351.300517,97000,-0.0411878377199173
1640918797.3911817,98000,-0.03981447219848633
1640919246.018441,99000,-0.041169922798871994
1640919689.308397,100000,-0.040792565792798996
1640920136.305017,101000,-0.03923880308866501
1640920584.1145673,102000,-0.04173779860138893
1640921027.180075,103000,-0.040123701095581055
1640921474.378168,104000,-0.041858967393636703
1640921858.219008,105000,-0.0399380661547184
1640922306.447642,106000,-0.03919344022870064
1640922749.096995,107000,-0.042184554040431976
